Spin ID,Date / Time,Number,Colour,Parity,Range,Table Session,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:26,2026-07-18T08:31:40.244Z,30,Red,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:27,2026-07-18T08:32:16.706Z,20,Black,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:28,2026-07-18T08:32:53.468Z,15,Black,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:29,2026-07-18T08:33:33.921Z,29,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:30,2026-07-18T08:34:06.534Z,34,Red,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:31,2026-07-18T08:34:44.352Z,13,Black,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:32,2026-07-18T08:35:23.692Z,31,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:33,2026-07-18T08:35:56.488Z,21,Red,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:34,2026-07-18T08:36:34.125Z,26,Black,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:35,2026-07-18T08:37:10.723Z,2,Black,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:36,2026-07-18T08:37:48.842Z,33,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:37,2026-07-18T08:38:26.077Z,1,Red,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:38,2026-07-18T08:39:04.229Z,22,Black,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:39,2026-07-18T08:39:42.417Z,1,Red,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:40,2026-07-18T08:40:21.969Z,14,Red,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:41,2026-07-18T08:41:05.831Z,20,Black,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:42,2026-07-18T08:41:44.409Z,16,Red,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:43,2026-07-18T08:42:21.024Z,30,Red,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:44,2026-07-18T08:42:57.472Z,2,Black,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:45,2026-07-18T08:43:35.997Z,33,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:46,2026-07-18T08:44:10.876Z,6,Black,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:47,2026-07-18T08:44:53.025Z,18,Red,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
d4daf128-3bd8-497c-88a9-fd18fc39c4c3:1,2026-07-18T08:56:48.812Z,0,Green,Zero,Zero,d4daf128-3bd8-497c-88a9-fd18fc39c4c3,
d4daf128-3bd8-497c-88a9-fd18fc39c4c3:2,2026-07-18T08:56:53.023Z,2,Black,even,low,d4daf128-3bd8-497c-88a9-fd18fc39c4c3,
d4daf128-3bd8-497c-88a9-fd18fc39c4c3:3,2026-07-18T08:56:54.976Z,4,Black,even,low,d4daf128-3bd8-497c-88a9-fd18fc39c4c3,
d4daf128-3bd8-497c-88a9-fd18fc39c4c3:4,2026-07-18T08:56:57.196Z,6,Black,even,low,d4daf128-3bd8-497c-88a9-fd18fc39c4c3,
3d71c342-9fda-406d-9c9e-e21b022af4fa:1,2026-07-18T10:07:14.062Z,12,Red,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:2,2026-07-18T10:07:36.546Z,4,Black,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:3,2026-07-18T10:08:15.578Z,34,Red,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:4,2026-07-18T10:08:56.609Z,28,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:5,2026-07-18T10:09:35.980Z,0,Green,Zero,Zero,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:6,2026-07-18T10:10:10.350Z,23,Red,odd,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:7,2026-07-18T10:10:46.920Z,28,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:8,2026-07-18T10:11:51.966Z,18,Red,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:9,2026-07-18T10:12:33.510Z,27,Red,odd,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:10,2026-07-18T10:13:13.218Z,36,Red,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:11,2026-07-18T10:13:55.247Z,24,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:12,2026-07-18T10:14:37.357Z,4,Black,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:13,2026-07-18T10:15:18.636Z,11,Black,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:14,2026-07-18T10:16:00.651Z,7,Red,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:15,2026-07-18T10:16:41.825Z,2,Black,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:16,2026-07-18T10:17:24.436Z,0,Green,Zero,Zero,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:17,2026-07-18T10:18:07.060Z,9,Red,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:18,2026-07-18T10:18:50.259Z,29,Black,odd,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:19,2026-07-18T10:19:34.430Z,26,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:20,2026-07-18T10:20:12.994Z,7,Red,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:21,2026-07-18T10:20:54.592Z,8,Black,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:22,2026-07-18T10:21:37.519Z,0,Green,Zero,Zero,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:23,2026-07-18T10:22:19.203Z,10,Black,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:24,2026-07-18T10:23:02.652Z,34,Red,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:25,2026-07-18T10:23:43.241Z,13,Black,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:26,2026-07-18T10:24:23.197Z,11,Black,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:27,2026-07-18T10:25:04.175Z,17,Black,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:28,2026-07-18T10:25:44.072Z,24,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:29,2026-07-18T10:26:25.467Z,2,Black,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:30,2026-07-18T10:27:05.377Z,8,Black,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:31,2026-07-18T10:27:48.008Z,9,Red,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:32,2026-07-18T10:28:30.433Z,26,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:33,2026-07-18T10:29:13.096Z,26,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:34,2026-07-18T10:29:56.597Z,28,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:35,2026-07-18T10:30:36.591Z,26,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:36,2026-07-18T10:31:21.049Z,2,Black,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:37,2026-07-18T10:32:01.694Z,20,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:38,2026-07-18T10:32:45.644Z,16,Red,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:39,2026-07-18T10:33:29.388Z,33,Black,odd,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:40,2026-07-18T10:34:09.744Z,27,Red,odd,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:41,2026-07-18T10:34:52.458Z,31,Black,odd,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:42,2026-07-18T10:35:34.459Z,12,Red,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:43,2026-07-18T10:36:14.310Z,1,Red,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:44,2026-07-18T10:36:55.670Z,16,Red,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:45,2026-07-18T10:37:36.734Z,18,Red,even,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:46,2026-07-18T10:38:17.805Z,11,Black,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:47,2026-07-18T10:38:57.878Z,11,Black,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:48,2026-07-18T10:39:39.964Z,15,Black,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:49,2026-07-18T10:40:29.180Z,3,Red,odd,low,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:50,2026-07-18T10:41:36.352Z,22,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
3d71c342-9fda-406d-9c9e-e21b022af4fa:51,2026-07-18T10:41:59.842Z,28,Black,even,high,3d71c342-9fda-406d-9c9e-e21b022af4fa,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:1,2026-07-18T10:46:17.474Z,17,Black,odd,low,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:2,2026-07-18T10:46:43.148Z,20,Black,even,high,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:3,2026-07-18T10:47:26.896Z,15,Black,odd,low,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:4,2026-07-18T10:48:03.621Z,8,Black,even,low,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:5,2026-07-18T10:48:44.102Z,17,Black,odd,low,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:6,2026-07-18T10:49:27.520Z,10,Black,even,low,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:7,2026-07-18T10:50:09.015Z,15,Black,odd,low,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:8,2026-07-18T10:50:47.924Z,22,Black,even,high,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:9,2026-07-18T10:51:28.670Z,28,Black,even,high,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:10,2026-07-18T10:52:05.622Z,26,Black,even,high,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:11,2026-07-18T10:52:46.243Z,2,Black,even,low,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:12,2026-07-18T10:53:28.935Z,8,Black,even,low,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:13,2026-07-18T10:54:00.534Z,36,Red,even,high,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:14,2026-07-18T10:54:34.018Z,22,Black,even,high,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
4dfc4422-6f3a-4ab5-b998-af3346d288ab:15,2026-07-18T10:55:11.039Z,29,Black,odd,high,4dfc4422-6f3a-4ab5-b998-af3346d288ab,
97548f88-6f7a-4443-8892-3046e7b89bcc:1,2026-07-18T11:13:12.826Z,9,Red,odd,low,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:2,2026-07-18T11:13:14.588Z,35,Black,odd,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:3,2026-07-18T11:13:15.635Z,6,Black,even,low,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:4,2026-07-18T11:13:16.932Z,0,Green,Zero,Zero,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:5,2026-07-18T11:13:19.315Z,36,Red,even,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:6,2026-07-18T11:13:20.844Z,32,Red,even,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:7,2026-07-18T11:13:40.407Z,21,Red,odd,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:8,2026-07-18T11:13:46.330Z,12,Red,even,low,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:9,2026-07-18T11:13:48.134Z,35,Black,odd,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:10,2026-07-18T11:14:01.971Z,0,Green,Zero,Zero,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:11,2026-07-18T11:14:42.423Z,14,Red,even,low,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:12,2026-07-18T11:15:20.172Z,33,Black,odd,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:13,2026-07-18T11:16:01.219Z,23,Red,odd,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:14,2026-07-18T11:16:40.533Z,18,Red,even,low,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:15,2026-07-18T11:17:23.420Z,30,Red,even,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:16,2026-07-18T11:18:02.278Z,5,Red,odd,low,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:17,2026-07-18T11:18:44.951Z,22,Black,even,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:18,2026-07-18T11:19:26.082Z,30,Red,even,high,97548f88-6f7a-4443-8892-3046e7b89bcc,
97548f88-6f7a-4443-8892-3046e7b89bcc:19,2026-07-18T11:20:03.762Z,2,Black,even,low,97548f88-6f7a-4443-8892-3046e7b89bcc,
48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3:1,2026-07-18T11:20:27.480Z,2,Black,even,low,48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3,
48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3:2,2026-07-18T11:20:28.415Z,2,Black,even,low,48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3,
48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3:3,2026-07-18T11:20:29.389Z,2,Black,even,low,48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3,
48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3:4,2026-07-18T11:20:37.107Z,3,Red,odd,low,48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3,
48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3:5,2026-07-18T11:20:51.624Z,25,Red,odd,high,48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3,
48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3:6,2026-07-18T11:20:59.002Z,21,Red,odd,high,48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3,
48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3:7,2026-07-18T11:21:21.593Z,31,Black,odd,high,48af5ddc-969a-4e3b-b9b2-aaa6cdeeb3a3,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:1,2026-07-18T11:22:00.554Z,20,Black,even,high,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:2,2026-07-18T11:22:39.535Z,4,Black,even,low,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:3,2026-07-18T11:23:19.153Z,2,Black,even,low,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:4,2026-07-18T11:23:57.924Z,4,Black,even,low,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:5,2026-07-18T11:24:38.444Z,5,Red,odd,low,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:6,2026-07-18T11:25:23.078Z,12,Red,even,low,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:7,2026-07-18T11:25:59.679Z,13,Black,odd,low,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:8,2026-07-18T11:26:32.425Z,26,Black,even,high,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:9,2026-07-18T11:27:13.267Z,36,Red,even,high,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:10,2026-07-18T11:27:51.406Z,36,Red,even,high,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
6b3f5a09-159d-4f11-aff8-ea868db89c7e:11,2026-07-18T11:28:31.370Z,18,Red,even,low,6b3f5a09-159d-4f11-aff8-ea868db89c7e,
